YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,HWY (L/100 km),COMB (L/100 km),COMB (mpg),EMISSIONS
2010,HUMMER,H3T 4WD,PICKUP TRUCK - STANDARD,5.3,8,A4,X,16.5,12.4,14.7,19,338
2014,MERCEDES-BENZ,SLS AMG BLACK SERIES COUPE,TWO-SEATER,6.2,8,AS7,Z,16.9,11.9,14.6,19,336
2005,TOYOTA,CAMRY,MID-SIZE,3.0,6,A5,X,11.5,7.5,9.6,29,221
2012,MERCEDES-BENZ,MAYBACH 57S,FULL-SIZE,6.0,12,A5,Z,20.7,12.8,17.1,17,393
2008,MERCEDES-BENZ,CLK 550 COUPE,SUBCOMPACT,5.5,8,A7,Z,14.4,9.1,12.0,24,276
2015,SUBARU,WRX,COMPACT,2.0,4,M6,Z,11.1,8.3,9.8,29,225
2006,KIA,SEDONA,MINIVAN,3.8,6,A5,X,14.2,8.6,11.7,24,269
2011,FORD,FUSION FFV,MID-SIZE,3.0,6,AS6,E,14.9,9.6,12.5,23,200
2019,Chevrolet,Malibu Hybrid,Mid-size,1.8,4,AV,X,4.8,5.5,5.1,55,121
2010,HYUNDAI,ELANTRA TOURING,STATION WAGON - SMALL,2.0,4,A4,X,8.7,6.5,7.7,37,177
2015,HONDA,CIVIC Si,COMPACT,2.4,4,M6,Z,10.8,7.6,9.4,30,216
2013,NISSAN,NV200 CARGO VAN,SPECIAL PURPOSE VEHICLE,2.0,4,AV,X,8.7,7.1,8.0,35,184
2018,Chevrolet,Colorado 4WD,Pickup truck: Small,2.5,4,A6,X,12.6,9.8,11.3,25,266
2004,NISSAN,XTERRA V6 4X4,SUV,3.3,6,A4,X,14.6,10.7,12.8,22,294
2001,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,A4,X,15.3,10.9,13.3,21,306
2012,CHEVROLET,EQUINOX,SUV,2.4,4,A6,X,9.2,6.1,7.8,36,179
2004,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,3.2,6,AS6,Z,10.9,8.1,9.6,29,221
2020,Mazda,Mazda3 5-Door 4WD,Mid-size,2.5,4,AS6,X,9.8,7.4,8.7,32,204
2020,Mercedes-Benz,G 550,SUV: Standard,4.0,8,A9,Z,18.0,14.1,16.3,17,378
2021,Mercedes-Benz,C 300 4MATIC Coupe,Subcompact,2.0,4,A9,Z,10.2,7.4,9.0,31,210
2003,CHEVROLET,G15/25 EXPRESS CARGO,VAN - CARGO,4.3,6,A4,X,16.8,12.1,14.7,19,338
2003,LEXUS,LX 470,SUV,4.7,8,A5,X,17.9,12.9,15.6,18,359
2019,Mercedes-Benz,AMG S 63 4MATIC+ Cabriolet,Subcompact,4.0,8,A9,Z,15.8,9.8,13.1,22,306
2022,BMW,M8 Gran Coupe Competition,Mid-size,4.4,8,AS8,Z,16.1,11.0,13.8,20,322
2008,MAZDA,CX-7 4X4 TURBO,SUV,2.3,4,AS6,Z,12.7,9.1,11.1,25,255
2006,CHEVROLET,MONTE CARLO,MID-SIZE,5.3,8,A4,Z,13.0,7.8,10.7,26,246
2013,GMC,TERRAIN,SUV - SMALL,2.4,4,A6,X,9.2,6.1,7.8,36,179
2004,GMC,K1500 SIERRA 4X4 FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,E,21.8,16.0,19.2,15,307
2010,DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,AS5,X,13.5,8.0,11.1,25,255
2010,CHEVROLET,EXPRESS CARGO CONV,VAN - CARGO,5.3,8,A4,E,21.8,15.9,19.1,15,306
2006,DODGE,GRAND CARAVAN FFV C/V,MINIVAN,3.3,6,A4,E,18.5,12.5,15.8,18,253
2019,Ford,Mustang,Subcompact,5.0,8,M6,X,16.1,9.9,13.3,21,311
2002,CHEVROLET,C2500 SILVERADO BI-FUEL,PICKUP TRUCK - STANDARD,6.0,8,A4,X,20.3,14.9,17.9,16,412
2012,VOLVO,XC60 3.2,SUV,3.2,6,AS6,X,11.2,7.8,9.7,29,223
2000,BMW,323Ci,COMPACT,2.5,6,A5,Z,12.3,7.8,10.3,27,237
2008,SAAB,9-3 SPORTCOMBI TURBO,STATION WAGON - SMALL,2.0,4,AS5,Z,11.8,7.9,10.1,28,232
2013,RAM,1500 FFV,PICKUP TRUCK - STANDARD,4.7,8,A6,E,22.0,16.2,19.4,15,310
2012,LEXUS,CT 200h,COMPACT,1.8,4,AV,X,4.5,4.8,4.6,61,106
2001,TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,2.4,4,A4,X,11.2,9.3,10.3,27,237
2021,Volvo,V60 CC T5 AWD,Station wagon: Small,2.0,4,AS8,Z,10.8,7.7,9.4,30,220
2000,FORD,COUGAR,COMPACT,2.0,4,M5,X,9.7,6.4,8.2,34,189
2021,Acura,ILX,Compact,2.4,4,AM8,Z,9.9,7.0,8.6,33,199
2011,BMW,323i,COMPACT,2.5,6,A6,Z,11.2,6.7,9.2,31,212
2016,CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4,A6,E,15.6,10.8,13.4,21,221
2005,DODGE,CARAVAN C/V FFV,MINIVAN,3.3,6,A4,X,12.0,8.2,10.3,27,237
2010,BMW,535i xDRIVE TOURING,STATION WAGON - MID-SIZE,3.0,6,M6,Z,13.5,8.5,11.2,25,258
2018,BMW,M6 Coupe,Subcompact,4.4,8,AM7,Z,17.3,11.6,14.7,19,344
2008,SAAB,9-5 SEDAN TURBO,MID-SIZE,2.3,4,M5,Z,11.6,7.2,9.6,29,221
2008,NISSAN,FRONTIER 4X4,PICKUP TRUCK - SMALL,4.0,6,A5,X,14.8,10.6,12.9,22,297
2020,Jaguar,F-TYPE P300 Convertible,Two-seater,2.0,4,AS8,Z,10.2,7.8,9.2,31,215
2020,Honda,Civic Coupe Si,Compact,1.5,4,M6,Z,8.9,6.4,7.8,36,183
2008,SUZUKI,SX4 JX,STATION WAGON - SMALL,2.0,4,M5,X,9.5,6.8,8.3,34,191
2022,Volkswagen,Golf GTI,Mid-size,2.0,4,AM7,X,9.3,7.0,8.3,34,194
2000,HONDA,ACCORD DX,MID-SIZE,2.3,4,A4,X,10.8,7.5,9.3,30,214
2019,Porsche,Panamera GTS ST,Full-size,4.0,8,AM8,Z,15.7,10.5,13.4,21,313
2022,Cadillac,CT5-V Blackwing,Mid-size,6.2,8,AS10,Z,18.1,10.7,14.8,19,346
2018,Mercedes-Benz,C 300 4MATIC Wagon,Station wagon: Mid-size,2.0,4,A9,Z,10.7,8.0,9.5,30,222
2015,BUICK,VERANO,COMPACT,2.0,4,M6,Z,11.6,7.6,9.8,29,225
2018,Volvo,V90 CC T5 AWD,Station wagon: Mid-size,2.0,4,AS8,Z,10.4,7.7,9.2,31,214
2012,INFINITI,QX56 4WD,SUV,5.6,8,AS7,Z,15.7,10.3,13.2,21,304
2017,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,15.6,11.3,13.7,21,320
2009,GMC,CANYON CHASSIS CAB,PICKUP TRUCK - SMALL,3.7,5,A4,X,13.8,10.1,12.1,23,278
2014,MAZDA,MX-5,TWO-SEATER,2.0,4,M6,Z,9.7,7.1,8.5,33,196
2005,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3.1,6,AS6,Z,12.6,8.2,10.6,27,244
2020,Nissan,Qashqai AWD,Station wagon: Small,2.0,4,AV8,X,9.0,7.7,8.4,34,198
2015,LEXUS,IS 350,COMPACT,3.5,6,AS8,Z,12.3,8.5,10.6,27,244
2018,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,4.3,6,A6,X,14.1,10.6,12.5,23,294
2014,PORSCHE,911 CARRERA,MINICOMPACT,3.4,6,AM7,Z,10.2,7.0,8.8,32,202
2011,AUDI,A6 AVANT,STATION WAGON - MID-SIZE,3.0,6,AS6,Z,12.0,8.0,10.2,28,235
2015,VOLKSWAGEN,TOUAREG TDI (modified),SUV - STANDARD,3.0,6,AS8,D,11.8,8.1,10.2,28,277
2015,HYUNDAI,ELANTRA,MID-SIZE,2.0,4,M6,X,9.8,7.0,8.5,33,196
2005,TOYOTA,RAV4 4X4,SUV,2.4,4,M5,X,10.7,8.1,9.5,30,218
2005,FORD,TAURUS WAGON,STATION WAGON - MID-SIZE,3.0,6,A4,X,12.4,8.5,10.6,27,244
2008,JAGUAR,S-TYPE R #,MID-SIZE,4.2,8,A6,Z,13.9,9.2,11.8,24,271
2019,Jaguar,F-TYPE R AWD Convertible,Two-seater,5.0,8,AS8,Z,15.6,10.4,13.3,21,311
2012,NISSAN,JUKE,STATION WAGON - SMALL,1.6,4,AV,Z,7.5,6.1,6.8,42,156
2019,Dodge,Charger FFV,Full-size,3.6,6,A5,E,18.9,12.7,16.1,18,268
2019,BMW,230i Coupe,Subcompact,2.0,4,M6,Z,11.1,7.3,9.4,30,219
2017,JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,2.4,4,A9,X,11.4,8.7,10.2,28,240
2005,TOYOTA,ECHO HATCHBACK,SUBCOMPACT,1.5,4,A4,X,7.1,5.5,6.4,44,147
2004,JAGUAR,X-TYPE,SUBCOMPACT,2.5,6,M5,Z,12.1,7.8,10.2,28,235
2005,NISSAN,MURANO AWD,SUV,3.5,6,AV,X,12.0,8.8,10.6,27,244
2012,DODGE,AVENGER,MID-SIZE,2.4,4,A4,X,9.9,6.7,8.4,34,193
2007,CHEVROLET,IMPALA,FULL-SIZE,3.9,6,A4,X,11.9,7.5,9.9,29,228
2003,OLDSMOBILE,ALERO,COMPACT,3.4,6,A4,X,11.0,6.7,9.1,31,209
2003,SUBARU,OUTBACK WAGON,STATION WAGON - MID-SIZE,2.5,4,M5,X,11.4,8.0,9.9,29,228
2013,NISSAN,JUKE AWD,STATION WAGON - SMALL,1.6,4,AV,Z,8.0,6.6,7.4,38,170
2006,KIA,SPORTAGE 4X4,SUV,2.0,4,M5,X,11.2,8.2,9.8,29,225
2006,PONTIAC,GRAND PRIX,MID-SIZE,5.3,8,AS4,Z,12.9,7.9,10.6,27,244
2000,GMC,C1500 YUKON XL,SUV,5.3,8,A4,X,17.1,12.5,15.0,19,345
2010,LEXUS,GX 460,SUV,4.6,8,AS6,Z,14.1,9.8,12.1,23,278
2018,Cadillac,ATS-V,Compact,3.6,6,M6,Z,14.4,10.4,12.6,22,295
2010,CHEVROLET,EXPRESS CARGO AWD,VAN - CARGO,5.3,8,A4,E,21.4,15.8,18.9,15,302
2021,Chevrolet,Silverado 4WD Custom/WT,Pickup truck: Standard,2.7,4,A8,X,12.5,10.8,11.7,24,275
2020,Porsche,718 Boxster,Two-seater,2.0,4,M6,Z,11.7,8.9,10.5,27,245
2008,CHRYSLER,SEBRING SEDAN FFV,MID-SIZE,2.7,6,A4,X,10.8,7.2,9.2,31,212
2007,GMC,SAVANA CARGO CONV,VAN - CARGO,5.3,8,A4,X,16.3,11.7,14.2,20,327
2016,CADILLAC,ATS AWD,COMPACT,2.0,4,AS8,Z,10.8,7.8,9.4,30,221
2008,TOYOTA,HIGHLANDER 4WD,SUV,3.5,6,AS5,X,12.3,8.8,10.8,26,248
2009,CHEVROLET,AVALANCHE,PICKUP TRUCK - STANDARD,6.0,8,A6,X,15.6,10.1,13.1,22,301
2007,PONTIAC,TORRENT,SUV,3.4,6,A5,X,12.2,8.3,10.4,27,239
2003,SAAB,9-5 LINEAR WAGON TURBO,STATION WAGON - MID-SIZE,2.3,4,A5,X,12.0,7.5,10.0,28,230
2016,BMW,435i CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,11.8,7.6,9.9,29,232
2006,PONTIAC,PURSUIT,SUBCOMPACT,2.2,4,M5,X,9.5,6.1,8.0,35,184
2005,BUICK,PARK AVENUE #,FULL-SIZE,3.8,6,A4,Z,13.4,8.2,11.1,25,255
2017,MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4,AS6,X,8.5,6.4,7.6,37,176
2011,GMC,CANYON CHASSIS CAB,PICKUP TRUCK - SMALL,3.7,5,A4,X,13.8,10.0,12.1,23,278
2001,JEEP,TJ 4X4,SUV,4.0,6,A3,X,15.7,12.4,14.2,20,327
2005,GMC,K1500 SIERRA 4X4 FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,E,22.0,16.2,19.4,15,310
2009,MINI,COOPER CONVERTIBLE,MINICOMPACT,1.6,4,A6,Z,7.9,5.7,6.9,41,159
2011,VOLVO,XC60 T6 AWD,SUV,3.0,6,AS6,X,12.6,8.8,10.9,26,251
2021,Lexus,ES 350 F SPORT,Mid-size,3.5,6,AS8,X,10.9,7.5,9.4,30,219
2003,SUBARU,FORESTER AWD,SUV,2.5,4,A4,X,10.8,8.1,9.6,29,221
2011,CHEVROLET,CRUZE,COMPACT,1.8,4,M6,X,7.8,5.4,6.8,42,156
2007,VOLKSWAGEN,JETTA,COMPACT,2.0,4,M6,Z,10.1,6.8,8.6,33,198
2017,NISSAN,370Z,TWO-SEATER,3.7,6,M6,Z,13.3,9.3,11.5,25,269
2021,Jaguar,F-TYPE P300 Coupe,Two-seater,2.0,4,AS8,Z,10.2,7.8,9.2,31,215
2012,MINI,COOPER S,MINICOMPACT,1.6,4,M6,Z,7.6,5.6,6.7,42,154
2001,KIA,SPORTAGE,SUV,2.0,4,M5,X,11.8,9.7,10.9,26,251
2013,FORD,FUSION (Auto Start-Stop),MID-SIZE,1.6,4,AS6,X,8.5,5.3,7.1,40,163
2016,LINCOLN,MKZ,MID-SIZE,3.7,6,AS6,X,12.8,8.7,10.9,26,257
2022,Mercedes-Benz,AMG CLS 53 4MATIC+ Coupe,Compact,3.0,6,A9,Z,11.6,8.8,10.3,27,241
2004,FORD,EXPLORER SPORT TRAC 4X4 FFV,PICKUP TRUCK - STANDARD,4.0,6,A5,E,20.7,14.6,18.0,16,288
2005,BMW,320i,COMPACT,2.2,6,M5,Z,11.3,7.2,9.5,30,218
2001,SATURN,L100/200,MID-SIZE,2.2,4,M5,X,10.8,6.9,9.0,31,207
2019,Ford,Shelby GT350 Mustang,Subcompact,5.2,8,M6,Z,17.2,11.3,14.6,19,341
2014,KIA,OPTIMA HYBRID EX,MID-SIZE,2.4,4,AS6,X,5.6,5.0,5.3,53,122
2020,Porsche,911 Carrera 4S Cabriolet,Minicompact,3.0,6,M7,Z,13.8,9.7,12.0,24,280
2008,ASTON MARTIN,DB9 COUPE,MINICOMPACT,5.9,12,AS6,Z,19.2,11.3,15.6,18,359
2002,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS5,Z,13.5,8.4,11.2,25,258
2019,Chevrolet,Silverado,Pickup truck: Standard,2.7,4,A8,X,11.9,10.3,11.1,25,261
2003,SAAB,9-3 VECTOR TURBO,COMPACT,2.0,4,A5,Z,12.3,7.0,9.9,29,228
2009,LEXUS,RX 350 AWD,SUV,3.5,6,A5,Z,12.4,9.0,10.9,26,251
2015,FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,13.5,8.3,11.2,25,258
2012,AUDI,A3,STATION WAGON - SMALL,2.0,4,M6,Z,10.4,6.7,8.7,32,200
2008,CHEVROLET,TRAILBLAZER 4X4,SUV,5.3,8,A4,X,14.7,10.5,12.8,22,294
2016,HONDA,FIT,STATION WAGON - SMALL,1.5,4,AV,X,7.0,5.7,6.4,44,150
2019,Toyota,Yaris,Compact,1.5,4,AS6,X,7.3,5.8,6.6,43,155
2006,LINCOLN,MARK LT 4X4,PICKUP TRUCK - STANDARD,5.4,8,A4,X,17.1,12.4,15.0,19,345
2015,FORD,FUSION,MID-SIZE,1.5,4,AS6,X,9.9,6.5,8.4,34,193
2011,SUZUKI,SX4 SEDAN SPORT,COMPACT,2.0,4,M6,X,9.1,6.2,7.8,36,179
2017,KIA,FORTE KOUP,COMPACT,1.6,4,AM7,X,9.6,7.4,8.6,33,204
2007,BMW,335i CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,12.5,7.6,10.3,27,237
2009,KIA,MAGENTIS,MID-SIZE,2.4,4,M5,X,9.4,6.2,8.0,35,184
2004,GMC,SAFARI PASSENGER,VAN - PASSENGER,4.3,6,A4,X,16.6,11.9,14.5,19,334
2004,BMW,325Ci CONVERTIBLE,MINICOMPACT,2.5,6,A5,Z,12.7,8.2,10.7,26,246
2001,TOYOTA,CAMRY SOLARA,COMPACT,2.2,4,A4,X,10.1,6.8,8.6,33,198
2011,MITSUBISHI,LANCER,COMPACT,2.0,4,AV,X,8.0,5.9,7.0,40,161
2017,CADILLAC,ATS,COMPACT,3.6,6,AS8,X,11.6,8.0,10.0,28,234
2012,FORD,E150 VAN FFV,VAN - CARGO,4.6,8,A4,X,16.1,12.1,14.3,20,329
2014,JAGUAR,XJL SUPERCHARGED,FULL-SIZE,5.0,8,AS8,E,18.7,11.6,15.5,18,248
2018,Toyota,Prius v,Station wagon: Mid-size,1.8,4,AV,X,5.5,6.0,5.8,49,135
2015,LAMBORGHINI,VENENO ROADSTER,TWO-SEATER,6.5,12,AM7,Z,22.1,13.9,18.4,15,423
2006,LEXUS,LS 430,FULL-SIZE,4.3,8,AS6,Z,12.8,8.5,10.9,26,251
2021,Audi,SQ8 quattro,SUV: Standard,4.0,8,AS8,Z,16.0,11.4,13.9,20,324
2015,JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6,M6,X,15.0,11.4,13.4,21,308
2016,KIA,FORTE,MID-SIZE,2.0,4,M6,X,9.8,6.9,8.5,33,198
2015,JEEP,PATRIOT,SUV - SMALL,2.4,4,A6,X,11.2,8.6,10.0,28,230
2013,FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,X,12.2,8.2,10.4,27,239
2022,Genesis,GV80 AWD,SUV: Standard,3.5,6,AS8,Z,12.9,10.4,11.8,24,279
2011,TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4,M5,X,11.5,9.2,10.4,27,239
2009,FERRARI,612 SCAGLIETTI,MID-SIZE,5.7,12,AS6,Z,22.8,12.8,18.3,15,421
2022,Genesis,G90 AWD,Full-size,5.0,8,AS8,Z,15.0,10.1,12.8,22,303
2018,GMC,Yukon XL 4WD,SUV: Standard,6.2,8,A10,Z,17.1,11.3,14.5,19,340
2020,Mazda,Mazda3 4-Door (SIL),Compact,2.0,4,M6,X,8.7,6.4,7.7,37,180
2009,MERCEDES-BENZ,SLK 300,TWO-SEATER,3.0,6,A7,Z,11.2,7.6,9.6,29,221
2001,VOLVO,S40 TURBO,COMPACT,1.9,4,A5,Z,10.5,6.8,8.8,32,202
2018,Ford,Fusion,Mid-size,2.0,4,AS6,X,11.2,7.6,9.6,29,225
2007,CHEVROLET,CORVETTE,TWO-SEATER,6.0,8,M6,Z,13.2,7.6,10.7,26,246
2008,MERCEDES-BENZ,S 600 TURBO,FULL-SIZE,5.5,12,A5,Z,18.9,11.5,15.6,18,359
2016,CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6,AS6,X,12.5,8.2,10.6,27,248
2018,BMW,M4 Coupe,Compact,3.0,6,AM7,Z,13.5,9.9,11.9,24,280
2018,Buick,Encore AWD,SUV: Small,1.4,4,AS6,X,9.9,7.8,8.9,32,210
2018,Jeep,New Wrangler 4X4,SUV: Small,3.6,6,A8,X,12.8,10.4,11.8,24,274
2022,Honda,Accord Hybrid Sport/Touring,Full-size,2.0,4,AV,X,5.3,5.7,5.5,51,129
2004,FORD,FOCUS WAGON,STATION WAGON - MID-SIZE,2.0,4,A4,X,9.0,6.7,8.0,35,184
2002,VOLVO,S60 T5 TURBO,COMPACT,2.3,5,AS5,Z,11.4,7.6,9.7,29,223
2017,SUBARU,BRZ,MINICOMPACT,2.0,4,M6,Z,11.1,8.0,9.7,29,228
2007,VOLKSWAGEN,PASSAT,MID-SIZE,2.0,4,AS6,Z,10.8,7.1,9.1,31,209
2010,LAMBORGHINI,GALLARDO SPYDER,TWO-SEATER,5.2,10,M6,Z,20.1,12.2,16.6,17,382
2011,FORD,ESCAPE HYBRID 4X4,SUV,2.5,4,AV,X,6.6,7.3,6.9,41,159
2012,VOLKSWAGEN,JETTA,COMPACT,2.5,5,M5,X,9.9,6.2,8.2,34,189
2018,Volvo,S60 CC T5 AWD,Compact,2.0,4,AS8,X,10.8,7.8,9.4,30,220
2016,HONDA,FIT,STATION WAGON - SMALL,1.5,4,AV7,X,7.3,6.1,6.8,42,158
2013,GMC,YUKON DENALI XL AWD,SUV - STANDARD,6.2,8,A6,Z,17.0,11.4,14.5,19,334
2009,DODGE,CHALLENGER SRT8,FULL-SIZE,6.1,8,M6,Z,15.6,9.2,12.7,22,292
2013,SUBARU,LEGACY AWD,MID-SIZE,2.5,4,M6,X,9.8,7.0,8.5,33,196
2017,LEXUS,IS 200t,COMPACT,2.0,4,AS8,Z,10.6,7.3,9.1,31,214
2015,KIA,SOUL,STATION WAGON - SMALL,2.0,4,AS6,X,10.1,7.7,9.0,31,207
2000,VOLVO,S80 2.9,MID-SIZE,2.9,6,A4,Z,12.9,8.4,10.9,26,251
2005,BMW,525i,MID-SIZE,2.5,6,M6,Z,12.4,7.6,10.3,27,237
2022,BMW,M340i xDrive Sedan,Compact,3.0,6,AS8,Z,10.4,7.7,9.2,31,214
2017,JAGUAR,XE 20d AWD,COMPACT,2.0,4,AS8,D,7.8,5.8,6.9,41,186
2007,CHEVROLET,AVEO,COMPACT,1.6,4,A4,X,9.1,6.3,7.8,36,179
2003,FORD,TAURUS,MID-SIZE,3.0,6,A4,X,11.8,7.7,10.0,28,230
2019,BMW,X6 xDrive35i,SUV: Standard,3.0,6,AS8,Z,13.0,9.9,11.6,24,272
2000,SUZUKI,ESTEEM WAGON,STATION WAGON - SMALL,1.8,4,A4,X,9.0,6.3,7.8,36,179
2006,NISSAN,350Z ROADSTER #,TWO-SEATER,3.5,6,M6,Z,12.5,8.8,10.8,26,248
2010,VOLVO,XC70 T6 AWD,SUV,3.0,6,AS6,X,13.0,9.0,11.2,25,258
2007,PORSCHE,CARRERA 4 COUPE,MINICOMPACT,3.6,6,M6,Z,12.9,8.4,10.8,26,248
2018,Honda,Accord Hybrid,Full-size,2.0,4,AV,X,5.0,5.1,5.1,55,118
2009,SUBARU,LEGACY 2.5i WAGON,STATION WAGON - MID-SIZE,2.5,4,AS4,X,10.4,7.6,9.1,31,209
2010,GMC,YUKON,SUV,5.3,8,A6,X,14.4,9.6,12.2,23,281
2001,CHEVROLET,ASTRO CARGO AWD,VAN - CARGO,4.3,6,A4,X,15.5,10.9,13.4,21,308
2007,CHEVROLET,EXPRESS PASSENGER FFV,VAN - PASSENGER,5.3,8,A4,X,16.8,12.0,14.7,19,338
2013,BMW,335is COUPE,SUBCOMPACT,3.0,6,M6,Z,11.6,7.5,9.8,29,225
2010,VOLKSWAGEN,PASSAT WAGON,STATION WAGON - MID-SIZE,2.0,4,M6,Z,10.0,6.6,8.5,33,196
2003,SUZUKI,GRAND VITARA 4X4,SUV,2.5,6,M5,X,12.3,9.7,11.1,25,255
2021,Hyundai,Tucson AWD,SUV: Small,2.0,4,AS6,X,10.8,9.2,10.1,28,239
2008,SAAB,9-3 SPORTCOMBI AWD TURBO,STATION WAGON - SMALL,2.8,6,M6,Z,13.5,8.1,11.1,25,255
2014,AUDI,S5,SUBCOMPACT,3.0,6,M6,Z,13.1,8.3,10.9,26,251
2019,MINI,Cooper S Convertible,Minicompact,2.0,4,AS6,Z,9.4,7.2,8.4,34,197
2013,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M6,Z,12.9,7.7,10.6,27,244
2014,JEEP,WRANGLER 4X4 (2-DOOR),SUV - SMALL,3.6,6,A5,X,12.6,9.4,11.2,25,258
2006,NISSAN,FRONTIER V6,PICKUP TRUCK - STANDARD,4.0,6,M6,X,13.7,10.0,12.1,23,278
2006,PORSCHE,CARRERA 2S CABRIOLET,MINICOMPACT,3.8,6,AS5,Z,12.7,8.5,10.8,26,248
2015,LINCOLN,MKC AWD,SUV - SMALL,2.3,4,AS6,X,12.9,9.2,11.2,25,258
2005,KIA,SPORTAGE 4X4,SUV,2.7,6,A4,X,12.4,9.4,11.0,26,253
2009,MITSUBISHI,LANCER,COMPACT,2.4,4,AV,X,9.9,7.4,8.7,32,200
2014,LAND ROVER,RANGE ROVER SPORT V8 5.0 SC FFV,SUV - STANDARD,5.0,8,AS8,Z,14.9,10.4,12.9,22,297
2005,CHEVROLET,EQUINOX AWD,SUV,3.4,6,A5,X,12.7,8.6,10.9,26,251
2003,HONDA,ODYSSEY,MINIVAN,3.5,6,A5,X,12.9,8.6,11.0,26,253
2006,GMC,G15 SAVANA CARGO,VAN - CARGO,5.3,8,A4,X,14.8,10.7,13.0,22,299
2006,VOLVO,V50 T5 AWD WAGON TURBO,STATION WAGON - SMALL,2.5,5,AS5,Z,11.9,7.9,10.1,28,232
2003,PONTIAC,VIBE GT #,STATION WAGON - SMALL,1.8,4,M6,Z,9.3,7.1,8.3,34,191
2012,LAND ROVER,RANGE ROVER EVOQUE,SUV,2.0,4,A6,Z,10.9,6.9,9.1,31,209
2018,Ford,Focus,Compact,2.0,4,M5,X,9.5,6.9,8.3,34,196
2021,Mazda,CX-5 (Cylinder Deactivation),SUV: Small,2.5,4,AS6,X,9.3,7.6,8.5,33,201
2011,AUDI,R8 COUPE,TWO-SEATER,4.2,8,AS6,Z,19.1,11.3,15.6,18,359
2005,PONTIAC,PURSUIT,SUBCOMPACT,2.2,4,M5,X,9.5,6.1,8.0,35,184
2008,SAAB,9-3 SPORT SEDAN TURBO,COMPACT,2.0,4,AS5,Z,11.1,7.7,9.6,29,221
2012,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.5,12.5,16.3,17,261
2001,SUBARU,LEGACY WAGON AWD,STATION WAGON - MID-SIZE,3.0,6,A4,Z,11.6,8.1,10.0,28,230
2016,GMC,YUKON 4WD FFV,SUV - STANDARD,5.3,8,A6,X,15.2,10.8,13.2,21,310
2012,LINCOLN,MKT AWD,SUV,3.7,6,AS6,X,12.7,9.0,11.0,26,253
2019,Porsche,911 Carrera,Minicompact,3.0,6,M7,Z,11.8,8.1,10.1,28,237
2015,MITSUBISHI,LANCER,COMPACT,2.0,4,M5,X,9.6,6.9,8.4,34,193
2021,Acura,TLX Type S (Performance Tire),Compact,3.0,6,AS10,Z,12.3,9.8,11.2,25,261
2013,HYUNDAI,GENESIS R SPEC,FULL-SIZE,5.0,8,AS8,Z,13.5,8.5,11.2,25,258
2005,MERCEDES-BENZ,S 430V-4M,FULL-SIZE,4.3,8,A5,Z,14.2,9.7,12.2,23,281
2004,CADILLAC,XLR,TWO-SEATER,4.6,8,AS5,X,14.2,8.7,11.7,24,269
2015,BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,11.4,7.9,9.8,29,225
2014,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,17.8,11.0,14.8,19,340
2003,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.8,8,A4,X,16.5,12.5,14.7,19,338
2008,SUBARU,LEGACY 2.5i LTD WAGON,STATION WAGON - MID-SIZE,2.5,4,M5,X,10.6,7.3,9.1,31,209
2012,GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,19.1,12.1,16.0,18,368
2015,LAND ROVER,RANGE ROVER SPORT,SUV - STANDARD,3.0,6,AS8,Z,14.0,10.5,12.4,23,285
2000,FORD,MUSTANG,SUBCOMPACT,3.8,6,A4,X,11.9,7.9,10.1,28,232
2011,CADILLAC,CTS,MID-SIZE,3.6,6,AS6,X,11.4,6.9,9.4,30,216
2012,MAZDA,MAZDASPEED3,MID-SIZE,2.3,4,M6,Z,11.5,8.0,9.9,29,228
